,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,678142,-,-,-,30.25,-97.74,-6,156,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,1,1,0,30,-10.700000000000001,0,-2.9000000000000004,14,0.15,0,0,1018,5.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018,1,1,1,30,-11.200000000000001,0,-3.2,15,0.15,0,0,1019,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018,1,1,2,30,-11.700000000000001,0,-3.5,15,0.15,0,0,1019,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018,1,1,3,30,-12.3,0,-3.8000000000000003,13,0.15,0,0,1019,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018,1,1,4,30,-12.9,0,-4,11,0.15,0,0,1020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2018,1,1,5,30,-13.4,0,-4.3,12,0.15,0,0,1020,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2018,1,1,6,30,-13.700000000000001,0,-4.6000000000000005,14,0.15,0,0,1021,4.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018,1,1,7,30,-13.700000000000001,4,-4.4,16,0.15,4,0,1022,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
